N,Z,binding,A,binding_MeV,N_frontier,d
23,18,8534.3733,41,349.9093052999999,28.099999999999998,-5.099999999999998
118,81,7893.8773,199,1570.8815826999999,124.4,-6.400000000000006
54,37,8607.5621,91,783.2881510999999,57.4,-3.3999999999999986
58,38,8521.2041,96,818.0355936000001,58.8,-0.7999999999999972
10,16,6525.0,26,169.65,26.099999999999998,-16.099999999999998
123,91,7647.7037,214,1636.6085918,139.6,-16.599999999999994
121,81,7886.2206,202,1593.0165611999998,124.4,-3.4000000000000057
55,50,8397.229,105,881.709045,77.7,-22.700000000000003
26,21,8665.0958,47,407.25950259999996,33.099999999999994,-7.099999999999994
163,107,7301.0,270,1971.27,163.4,-0.4000000000000057
108,75,8001.0101,183,1464.1848483,112.0,-4.0
105,83,7764.1904,188,1459.6677952,129.0,-24.0
109,80,7896.9192,189,1492.5177288,122.19999999999999,-13.199999999999989
88,66,8193.1305,154,1261.7420969999998,98.9,-10.900000000000006
7,5,6631.2237,12,79.5746844,11.799999999999999,-4.799999999999999
68,44,8439.2431,112,945.1952272000001,69.0,-1.0
37,27,8675.5223,64,555.2334272,41.7,-4.700000000000003
50,34,8658.7935,84,727.338654,51.7,-1.7000000000000028
43,43,8280.0,86,712.0799999999999,67.9,-24.900000000000006
56,38,8593.8344,94,807.8204336,58.8,-2.799999999999997
17,10,7520.4151,27,203.0512077,18.299999999999997,-1.2999999999999972
151,103,7401.1306,254,1879.8871724,156.7,-5.699999999999989
104,76,7987.4171,180,1437.735078,114.4,-10.400000000000006
83,70,8022.0,153,1227.366,104.2,-21.200000000000003
22,22,8533.5215,44,375.47494600000005,34.2,-12.200000000000003
78,67,8048.5792,145,1167.0439840000001,99.6,-21.599999999999994
102,84,7695.9488,186,1431.4464768,130.7,-28.69999999999999
105,80,7874.5391,185,1456.7897335,122.19999999999999,-17.19999999999999
63,43,8506.557,106,901.6950420000001,67.9,-4.900000000000006
47,47,8238.0,94,774.372,73.0,-26.0
91,66,8184.6287,157,1284.9867059,98.9,-7.900000000000006
42,29,8635.0233,71,613.0866543,44.7,-2.700000000000003
106,77,7961.8176,183,1457.0126208000001,115.7,-9.700000000000003
126,92,7640.7191,218,1665.6767638000001,142.9,-16.900000000000006
116,86,7769.3018,202,1569.3989636000001,133.6,-17.599999999999994
32,31,8583.9267,63,540.7873821,47.599999999999994,-15.599999999999994
12,10,8080.4656,22,177.7702432,18.299999999999997,-6.299999999999997
9,6,7100.1696,15,106.502544,11.799999999999999,-2.799999999999999
109,74,8008.3234,183,1465.5231822,111.0,-2.0
59,40,8539.225,99,845.383275,62.2,-3.200000000000003
138,90,7645.0807,228,1743.0783996,139.0,-1.0
36,27,8717.7972,63,549.2212236000001,41.7,-5.700000000000003
153,107,7314.0,260,1901.64,163.4,-10.400000000000006
65,56,8293.9083,121,1003.5629043,86.0,-21.0
